2024-10-03, 17:05:18, guest, 192.168.1.11, fallido, modificación, /etc/passwd,
2024-07-30, 00:18:46, admin, 192.168.1.13, fallido, modificación, /var/www/html/index.html,
2024-07-29, 03:30:15, admin, 192.168.1.12, exitoso, creación, /home/user1/documento.txt,
2024-08-16, 05:09:32, guest, 192.168.1.12, exitoso, borrado, /etc/passwd,
2024-09-07, 19:56:08, admin, 192.168.1.13, exitoso, borrado, /var/www/html/index.html,
2024-09-13, 03:26:11, admin, 192.168.1.12, fallido, login, /etc/passwd,
2024-08-13, 06:57:32, user2, 192.168.1.11, exitoso, login, /etc/passwd,
2024-09-16, 17:24:05, guest, 192.168.1.13, fallido, modificación, /tmp/tempfile,
2024-07-21, 12:07:52, admin, 192.168.1.11, fallido, creación, /tmp/tempfile,
2024-08-17, 17:03:54, admin, 192.168.1.13, exitoso, login, /var/www/html/index.html,
2024-09-21, 17:53:43, guest, 192.168.1.13, fallido, modificación, /home/user1/documento.txt,
2024-09-16, 17:43:30, user1, 192.168.1.10, fallido, modificación, /var/www/html/index.html,
2024-08-23, 19:24:51, guest, 192.168.1.12, exitoso, modificación, /home/user1/documento.txt,
2024-09-06, 03:49:29, user2, 192.168.1.11, fallido, creación, /var/www/html/index.html,
2024-07-16, 13:41:39, guest, 192.168.1.11, fallido, creación, /etc/passwd,
2024-09-19, 09:32:28, user1, 192.168.1.13, fallido, login, /var/www/html/index.html,
2024-08-09, 02:29:45, user1, 192.168.1.10, exitoso, login, /etc/passwd,
2024-07-27, 17:58:50, admin, 192.168.1.10, fallido, borrado, /tmp/tempfile,
2024-09-25, 15:21:58, user2, 192.168.1.13, exitoso, login, /etc/passwd,
2024-10-06, 17:06:03, admin, 192.168.1.13, fallido, creación, /etc/passwd,
2024-08-20, 13:27:32, user1, 192.168.1.11, exitoso, modificación, /tmp/tempfile,
2024-10-03, 13:45:41, user1, 192.168.1.12, fallido, login, /home/user1/documento.txt,
2024-08-08, 20:29:46, guest, 192.168.1.10, fallido, borrado, /home/user1/documento.txt,
2024-10-05, 15:50:33, admin, 192.168.1.13, fallido, login, /home/user1/documento.txt,
2024-07-24, 13:01:28, user2, 192.168.1.10, fallido, modificación, /var/www/html/index.html,
2024-09-22, 16:12:12, admin, 192.168.1.13, exitoso, modificación, /var/www/html/index.html,
2024-07-13, 01:33:58, admin, 192.168.1.13, exitoso, creación, /etc/passwd,
2024-09-07, 06:31:19, user2, 192.168.1.11, fallido, borrado, /etc/passwd,
2024-10-04, 05:56:28, guest, 192.168.1.11, fallido, borrado, /tmp/tempfile,
2024-09-04, 21:30:35, user1, 192.168.1.11, exitoso, login, /etc/passwd,
2024-07-13, 03:16:53, guest, 192.168.1.11, fallido, modificación, /tmp/tempfile,
2024-08-14, 07:06:38, user2, 192.168.1.12, fallido, creación, /etc/passwd,
2024-08-28, 13:14:14, user1, 192.168.1.13, exitoso, borrado, /etc/passwd,
2024-10-07, 00:03:35, user1, 192.168.1.12, fallido, creación, /tmp/tempfile,
2024-08-01, 06:32:47, admin, 192.168.1.13, fallido, creación, /etc/passwd,
2024-07-19, 11:41:55, user1, 192.168.1.13, fallido, borrado, /var/www/html/index.html,
2024-08-25, 14:45:15, admin, 192.168.1.10, exitoso, modificación, /var/www/html/index.html,
2024-09-05, 09:31:35, guest, 192.168.1.11, fallido, login, /etc/passwd,
2024-08-20, 19:24:54, user2, 192.168.1.11, fallido, creación, /etc/passwd,
2024-09-27, 03:20:26, user2, 192.168.1.11, exitoso, borrado, /tmp/tempfile,
2024-10-07, 18:03:46, admin, 192.168.1.12, exitoso, modificación, /tmp/tempfile,
2024-08-02, 12:09:28, user1, 192.168.1.12, exitoso, borrado, /home/user1/documento.txt,
2024-10-07, 06:07:18, admin, 192.168.1.12, exitoso, borrado, /home/user1/documento.txt,
2024-08-03, 16:20:48, guest, 192.168.1.11, fallido, borrado, /home/user1/documento.txt,
2024-10-04, 02:44:59, user1, 192.168.1.11, exitoso, modificación, /tmp/tempfile,
2024-07-25, 06:37:55, admin, 192.168.1.13, exitoso, borrado, /home/user1/documento.txt,
2024-08-16, 07:57:45, user1, 192.168.1.10, exitoso, borrado, /var/www/html/index.html,
2024-07-10, 08:56:52, user1, 192.168.1.13, exitoso, borrado, /var/www/html/index.html,
2024-09-20, 21:14:26, admin, 192.168.1.10, fallido, login, /var/www/html/index.html,
2024-10-07, 02:25:12, guest, 192.168.1.13, exitoso, creación, /var/www/html/index.html,
